,id,sex,race,age,age_cat,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,decile_score.1,score_text,v_decile_score,v_score_text,priors_count.1,c_charge_degree,days_b_screening_arrest,length_of_stay,sensitive,y_charge_mean,charge_id_0,charge_id_1,charge_id_2,charge_id_3,charge_id_4,BlackLatinoMale,African-American,Hispanic,Caucasian,Native American,Asian,Other,y
148,148,0,2,28,0,0,3,0,0,3,1,3,-1,3,-1,3,0,-1,0,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
5526,5526,0,0,37,0,0,10,0,1,26,1,10,1,8,1,26,1,-1,1,0,0.48852459,0,0,0,1,0,1,1,0,0,0,0,0,1
1450,1450,0,3,21,-1,0,10,0,0,0,1,10,1,8,1,0,1,0,7,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,0
3138,3138,0,5,29,0,0,2,0,0,0,1,2,-1,3,-1,0,1,-1,1,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
76,76,1,0,32,0,0,7,0,0,5,1,7,0,3,-1,5,1,-1,1,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
2643,2643,0,0,33,0,0,2,0,0,1,17,2,-1,1,-1,1,1,-17,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
4894,4894,0,0,23,-1,2,10,0,0,3,1,10,1,10,1,3,1,0,0,0,0.532188841,1,0,0,0,0,1,1,0,0,0,0,0,1
2126,2126,1,2,61,1,0,3,0,0,8,1,3,-1,1,-1,8,1,0,30,3,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
5135,5135,0,0,24,-1,0,9,0,0,7,1,9,1,6,0,7,1,-1,199,0,0.532188841,1,0,0,0,0,1,1,0,0,0,0,0,1
2055,2055,0,0,55,1,0,4,0,0,5,1,4,-1,1,-1,5,1,-1,3,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
5739,5739,0,2,21,-1,0,4,0,0,0,1,4,-1,7,0,0,0,-1,0,2,0.48852459,0,0,0,1,0,0,0,0,1,0,0,0,1
4380,4380,1,2,26,0,0,6,0,0,1,13,6,0,4,-1,1,1,-13,8,3,0.469041561,0,0,1,0,0,0,0,0,1,0,0,0,0
3782,3782,0,2,51,1,0,1,0,0,0,1,1,-1,1,-1,0,0,0,0,2,0.469041561,0,0,1,0,0,0,0,0,1,0,0,0,0
4795,4795,0,2,22,-1,0,6,0,1,0,1,6,0,6,0,0,0,0,0,2,0.469041561,0,0,1,0,0,0,0,0,1,0,0,0,1
2060,2060,0,0,31,0,0,10,0,0,15,0,10,1,7,0,15,1,0,104,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
2017,2017,0,5,54,1,0,1,0,0,0,1,1,-1,1,-1,0,1,-1,27,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
3649,3649,0,0,20,-1,0,10,0,1,1,1,10,1,10,1,1,1,-1,109,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
2980,2980,0,0,46,1,0,2,0,0,0,0,2,-1,1,-1,0,0,0,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
5740,5740,0,3,37,0,0,2,0,0,6,1,2,-1,2,-1,6,1,-1,1,4,0.48852459,0,0,0,1,0,1,0,1,0,0,0,0,1
5689,5689,0,0,33,0,0,4,0,0,5,1,4,-1,2,-1,5,1,0,-1,0,0.48852459,0,0,0,1,0,1,1,0,0,0,0,0,0
1671,1671,0,0,27,0,0,4,0,0,6,1,4,-1,2,-1,6,1,-1,39,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
429,429,0,0,21,-1,0,8,0,1,1,1,8,1,7,0,1,1,-1,2,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
3453,3453,0,0,31,0,0,8,0,0,9,1,8,1,8,1,9,0,-1,27,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
2283,2283,0,2,25,0,4,4,0,1,13,0,4,-1,3,-1,13,1,-1,5,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
558,558,0,0,33,0,0,9,0,1,12,1,9,1,7,0,12,0,-1,2,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
3388,3388,0,2,49,1,0,1,0,0,1,26,1,-1,1,-1,1,0,-26,0,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
3202,3202,0,0,22,-1,0,3,0,2,0,1,3,-1,5,0,0,1,-1,7,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
5366,5366,0,0,29,0,0,5,0,0,3,0,5,0,3,-1,3,1,0,1,0,0.48852459,0,0,0,1,0,1,1,0,0,0,0,0,1
2708,2708,0,0,53,1,0,4,0,0,5,1,4,-1,1,-1,5,1,-1,297,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
1936,1936,1,2,25,0,0,3,0,0,0,1,3,-1,3,-1,0,0,-1,0,3,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
2546,2546,1,5,20,-1,0,5,0,0,0,1,5,0,7,0,0,0,-1,1,7,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
