id,sex,race,age,age_cat,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,decile_score.1,score_text,v_decile_score,v_score_text,priors_count.1,c_charge_degree,days_b_screening_arrest,length_of_stay,y
1,0,5,69,1,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,0.0,0
3,0,0,34,0,0,3,0,0,0,1.0,3,-1,1,-1,0,1,-1.0,10.0,1
4,0,0,24,-1,0,4,0,1,4,1.0,4,-1,3,-1,4,1,-1.0,1.0,1
5,0,0,23,-1,0,8,1,0,1,1.0,8,1,6,0,1,1,3.3047632836253076,18.235413348776603,0
6,0,5,43,0,0,1,0,0,2,76.0,1,-1,1,-1,2,1,3.3047632836253076,18.235413348776603,0
7,0,5,44,0,0,1,0,0,0,0.0,1,-1,1,-1,0,0,0.0,1.0,0
8,0,2,41,0,0,6,0,0,14,1.0,6,0,2,-1,14,1,-1.0,6.0,1
9,0,5,43,0,0,4,0,0,3,1.0,4,-1,3,-1,3,1,-1.0,0.0,0
10,1,2,39,0,0,1,0,0,0,1.0,1,-1,1,-1,0,0,-1.0,2.0,0
13,0,2,21,-1,0,3,0,0,1,308.0,3,-1,5,0,1,1,428.0,0.0,1
14,0,2,27,0,0,4,0,0,0,1.0,4,-1,4,-1,0,1,-1.0,1.0,0
15,0,0,23,-1,0,6,0,0,3,0.0,6,0,4,-1,3,0,0.0,4.0,1
16,1,2,37,0,0,1,0,0,0,0.0,1,-1,1,-1,0,0,0.0,0.0,0
18,0,0,41,0,0,4,0,0,0,1.0,4,-1,2,-1,0,1,-1.0,0.0,0
19,1,2,47,1,0,1,0,0,1,490.0,1,-1,1,-1,1,1,-20.0,14.0,1
20,0,0,31,0,0,3,0,0,7,71.0,3,-1,2,-1,7,1,22.0,3.0,1
21,0,3,37,0,0,1,0,0,0,0.0,1,-1,1,-1,0,0,0.0,0.0,0
22,0,0,25,0,0,10,0,0,3,1.0,10,1,9,1,3,1,-1.0,1.0,0
